sepal_length,sepal_width,petal_length,petal_width,totals,mean,species
5.10,3.50,1.40,0.20,10.20,2.55,setosa
4.90,3.00,1.40,0.20,9.50,2.38,setosa
4.70,3.20,1.30,0.20,9.40,2.35,setosa
4.60,3.10,1.50,0.20,9.40,2.35,setosa
5.00,3.60,1.40,0.20,10.20,2.55,setosa
5.40,3.90,1.70,0.40,11.40,2.85,setosa
4.60,3.40,1.40,0.30,9.70,2.43,setosa
5.00,3.40,1.50,0.20,10.10,2.52,setosa
4.40,2.90,1.40,0.20,8.90,2.23,setosa
4.90,3.10,1.50,0.10,9.60,2.40,setosa
5.40,3.70,1.50,0.20,10.80,2.70,setosa
4.80,3.40,1.60,0.20,10.00,2.50,setosa
4.80,3.00,1.40,0.10,9.30,2.32,setosa
4.30,3.00,1.10,0.10,8.50,2.12,setosa
5.80,4.00,1.20,0.20,11.20,2.80,setosa
5.70,4.40,1.50,0.40,12.00,3.00,setosa
5.40,3.90,1.30,0.40,11.00,2.75,setosa
5.10,3.50,1.40,0.30,10.30,2.58,setosa
5.70,3.80,1.70,0.30,11.50,2.88,setosa
5.10,3.80,1.50,0.30,10.70,2.67,setosa
5.40,3.40,1.70,0.20,10.70,2.67,setosa
5.10,3.70,1.50,0.40,10.70,2.68,setosa
4.60,3.60,1.00,0.20,9.40,2.35,setosa
5.10,3.30,1.70,0.50,10.60,2.65,setosa
4.80,3.40,1.90,0.20,10.30,2.57,setosa
5.00,3.00,1.60,0.20,9.80,2.45,setosa
5.00,3.40,1.60,0.40,10.40,2.60,setosa
5.20,3.50,1.50,0.20,10.40,2.60,setosa
5.20,3.40,1.40,0.20,10.20,2.55,setosa
4.70,3.20,1.60,0.20,9.70,2.42,setosa
4.80,3.10,1.60,0.20,9.70,2.42,setosa
5.40,3.40,1.50,0.40,10.70,2.68,setosa
5.20,4.10,1.50,0.10,10.90,2.73,setosa
5.50,4.20,1.40,0.20,11.30,2.82,setosa
4.90,3.10,1.50,0.10,9.60,2.40,setosa
5.00,3.20,1.20,0.20,9.60,2.40,setosa
5.50,3.50,1.30,0.20,10.50,2.62,setosa
4.90,3.10,1.50,0.10,9.60,2.40,setosa
4.40,3.00,1.30,0.20,8.90,2.23,setosa
5.10,3.40,1.50,0.20,10.20,2.55,setosa
5.00,3.50,1.30,0.30,10.10,2.53,setosa
4.50,2.30,1.30,0.30,8.40,2.10,setosa
4.40,3.20,1.30,0.20,9.10,2.27,setosa
5.00,3.50,1.60,0.60,10.70,2.67,setosa
5.10,3.80,1.90,0.40,11.20,2.80,setosa
4.80,3.00,1.40,0.30,9.50,2.38,setosa
5.10,3.80,1.60,0.20,10.70,2.67,setosa
4.60,3.20,1.40,0.20,9.40,2.35,setosa
5.30,3.70,1.50,0.20,10.70,2.67,setosa
