,sepal_length,sepal_width,petal_length,petal_width,species,totals,mean
0,5.1,3.5,1.4,0.2,setosa,10.2,2.55
1,4.9,3.0,1.4,0.2,setosa,9.5,2.375
2,4.7,3.2,1.3,0.2,setosa,9.4,2.35
3,4.6,3.1,1.5,0.2,setosa,9.399999999999999,2.3499999999999996
4,5.0,3.6,1.4,0.2,setosa,10.2,2.55
5,5.4,3.9,1.7,0.4,setosa,11.4,2.85
6,4.6,3.4,1.4,0.3,setosa,9.700000000000001,2.4250000000000003
7,5.0,3.4,1.5,0.2,setosa,10.1,2.525
8,4.4,2.9,1.4,0.2,setosa,8.9,2.225
9,4.9,3.1,1.5,0.1,setosa,9.6,2.4
10,5.4,3.7,1.5,0.2,setosa,10.8,2.7
11,4.8,3.4,1.6,0.2,setosa,9.999999999999998,2.4999999999999996
12,4.8,3.0,1.4,0.1,setosa,9.299999999999999,2.3249999999999997
13,4.3,3.0,1.1,0.1,setosa,8.5,2.125
14,5.8,4.0,1.2,0.2,setosa,11.2,2.8
15,5.7,4.4,1.5,0.4,setosa,12.000000000000002,3.0000000000000004
16,5.4,3.9,1.3,0.4,setosa,11.000000000000002,2.7500000000000004
17,5.1,3.5,1.4,0.3,setosa,10.3,2.575
18,5.7,3.8,1.7,0.3,setosa,11.5,2.875
19,5.1,3.8,1.5,0.3,setosa,10.7,2.675
20,5.4,3.4,1.7,0.2,setosa,10.7,2.675
21,5.1,3.7,1.5,0.4,setosa,10.700000000000001,2.6750000000000003
22,4.6,3.6,1.0,0.2,setosa,9.399999999999999,2.3499999999999996
23,5.1,3.3,1.7,0.5,setosa,10.599999999999998,2.6499999999999995
24,4.8,3.4,1.9,0.2,setosa,10.299999999999999,2.5749999999999997
25,5.0,3.0,1.6,0.2,setosa,9.799999999999999,2.4499999999999997
26,5.0,3.4,1.6,0.4,setosa,10.4,2.6
27,5.2,3.5,1.5,0.2,setosa,10.399999999999999,2.5999999999999996
28,5.2,3.4,1.4,0.2,setosa,10.2,2.55
29,4.7,3.2,1.6,0.2,setosa,9.7,2.425
30,4.8,3.1,1.6,0.2,setosa,9.7,2.425
31,5.4,3.4,1.5,0.4,setosa,10.700000000000001,2.6750000000000003
32,5.2,4.1,1.5,0.1,setosa,10.9,2.725
33,5.5,4.2,1.4,0.2,setosa,11.299999999999999,2.8249999999999997
34,4.9,3.1,1.5,0.1,setosa,9.6,2.4
35,5.0,3.2,1.2,0.2,setosa,9.599999999999998,2.3999999999999995
36,5.5,3.5,1.3,0.2,setosa,10.5,2.625
37,4.9,3.1,1.5,0.1,setosa,9.6,2.4
38,4.4,3.0,1.3,0.2,setosa,8.9,2.225
39,5.1,3.4,1.5,0.2,setosa,10.2,2.55
40,5.0,3.5,1.3,0.3,setosa,10.100000000000001,2.5250000000000004
41,4.5,2.3,1.3,0.3,setosa,8.4,2.1
42,4.4,3.2,1.3,0.2,setosa,9.1,2.275
43,5.0,3.5,1.6,0.6,setosa,10.7,2.675
44,5.1,3.8,1.9,0.4,setosa,11.2,2.8
45,4.8,3.0,1.4,0.3,setosa,9.5,2.375
46,5.1,3.8,1.6,0.2,setosa,10.699999999999998,2.6749999999999994
47,4.6,3.2,1.4,0.2,setosa,9.399999999999999,2.3499999999999996
48,5.3,3.7,1.5,0.2,setosa,10.7,2.675
49,5.0,3.3,1.4,0.2,setosa,9.9,2.475
50,7.0,3.2,4.7,1.4,versicolor,16.299999999999997,4.074999999999999
51,6.4,3.2,4.5,1.5,versicolor,15.600000000000001,3.9000000000000004
52,6.9,3.1,4.9,1.5,versicolor,16.4,4.1
53,5.5,2.3,4.0,1.3,versicolor,13.100000000000001,3.2750000000000004
54,6.5,2.8,4.6,1.5,versicolor,15.4,3.85
55,5.7,2.8,4.5,1.3,versicolor,14.3,3.575
56,6.3,3.3,4.7,1.6,versicolor,15.9,3.975
57,4.9,2.4,3.3,1.0,versicolor,11.600000000000001,2.9000000000000004
58,6.6,2.9,4.6,1.3,versicolor,15.4,3.85
59,5.2,2.7,3.9,1.4,versicolor,13.200000000000001,3.3000000000000003
60,5.0,2.0,3.5,1.0,versicolor,11.5,2.875
61,5.9,3.0,4.2,1.5,versicolor,14.600000000000001,3.6500000000000004
62,6.0,2.2,4.0,1.0,versicolor,13.2,3.3
63,6.1,2.9,4.7,1.4,versicolor,15.1,3.775
64,5.6,2.9,3.6,1.3,versicolor,13.4,3.35
65,6.7,3.1,4.4,1.4,versicolor,15.600000000000001,3.9000000000000004
66,5.6,3.0,4.5,1.5,versicolor,14.6,3.65
67,5.8,2.7,4.1,1.0,versicolor,13.6,3.4
68,6.2,2.2,4.5,1.5,versicolor,14.4,3.6
69,5.6,2.5,3.9,1.1,versicolor,13.1,3.275
70,5.9,3.2,4.8,1.8,versicolor,15.700000000000003,3.9250000000000007
71,6.1,2.8,4.0,1.3,versicolor,14.2,3.55
72,6.3,2.5,4.9,1.5,versicolor,15.200000000000001,3.8000000000000003
73,6.1,2.8,4.7,1.2,versicolor,14.799999999999997,3.6999999999999993
74,6.4,2.9,4.3,1.3,versicolor,14.900000000000002,3.7250000000000005
75,6.6,3.0,4.4,1.4,versicolor,15.4,3.85
76,6.8,2.8,4.8,1.4,versicolor,15.799999999999999,3.9499999999999997
77,6.7,3.0,5.0,1.7,versicolor,16.4,4.1
78,6.0,2.9,4.5,1.5,versicolor,14.9,3.725
79,5.7,2.6,3.5,1.0,versicolor,12.8,3.2
80,5.5,2.4,3.8,1.1,versicolor,12.799999999999999,3.1999999999999997
81,5.5,2.4,3.7,1.0,versicolor,12.600000000000001,3.1500000000000004
82,5.8,2.7,3.9,1.2,versicolor,13.6,3.4
83,6.0,2.7,5.1,1.6,versicolor,15.399999999999999,3.8499999999999996
84,5.4,3.0,4.5,1.5,versicolor,14.4,3.6
85,6.0,3.4,4.5,1.6,versicolor,15.5,3.875
86,6.7,3.1,4.7,1.5,versicolor,16.0,4.0
87,6.3,2.3,4.4,1.3,versicolor,14.3,3.575
88,5.6,3.0,4.1,1.3,versicolor,14.0,3.5
89,5.5,2.5,4.0,1.3,versicolor,13.3,3.325
90,5.5,2.6,4.4,1.2,versicolor,13.7,3.425
91,6.1,3.0,4.6,1.4,versicolor,15.1,3.775
92,5.8,2.6,4.0,1.2,versicolor,13.6,3.4
93,5.0,2.3,3.3,1.0,versicolor,11.6,2.9
94,5.6,2.7,4.2,1.3,versicolor,13.8,3.45
95,5.7,3.0,4.2,1.2,versicolor,14.099999999999998,3.5249999999999995
96,5.7,2.9,4.2,1.3,versicolor,14.100000000000001,3.5250000000000004
97,6.2,2.9,4.3,1.3,versicolor,14.7,3.675
98,5.1,2.5,3.0,1.1,versicolor,11.7,2.925
99,5.7,2.8,4.1,1.3,versicolor,13.9,3.475
100,6.3,3.3,6.0,2.5,virginica,18.1,4.525
101,5.8,2.7,5.1,1.9,virginica,15.5,3.875
102,7.1,3.0,5.9,2.1,virginica,18.1,4.525
103,6.3,2.9,5.6,1.8,virginica,16.599999999999998,4.1499999999999995
104,6.5,3.0,5.8,2.2,virginica,17.5,4.375
105,7.6,3.0,6.6,2.1,virginica,19.3,4.825
106,4.9,2.5,4.5,1.7,virginica,13.6,3.4
107,7.3,2.9,6.3,1.8,virginica,18.3,4.575
108,6.7,2.5,5.8,1.8,virginica,16.8,4.2
109,7.2,3.6,6.1,2.5,virginica,19.4,4.85
110,6.5,3.2,5.1,2.0,virginica,16.799999999999997,4.199999999999999
111,6.4,2.7,5.3,1.9,virginica,16.3,4.075
112,6.8,3.0,5.5,2.1,virginica,17.400000000000002,4.3500000000000005
113,5.7,2.5,5.0,2.0,virginica,15.2,3.8
114,5.8,2.8,5.1,2.4,virginica,16.099999999999998,4.0249999999999995
115,6.4,3.2,5.3,2.3,virginica,17.200000000000003,4.300000000000001
116,6.5,3.0,5.5,1.8,virginica,16.8,4.2
117,7.7,3.8,6.7,2.2,virginica,20.4,5.1
118,7.7,2.6,6.9,2.3,virginica,19.500000000000004,4.875000000000001
119,6.0,2.2,5.0,1.5,virginica,14.7,3.675
120,6.9,3.2,5.7,2.3,virginica,18.1,4.525
121,5.6,2.8,4.9,2.0,virginica,15.299999999999999,3.8249999999999997
122,7.7,2.8,6.7,2.0,virginica,19.2,4.8
123,6.3,2.7,4.9,1.8,virginica,15.700000000000001,3.9250000000000003
124,6.7,3.3,5.7,2.1,virginica,17.8,4.45
125,7.2,3.2,6.0,1.8,virginica,18.2,4.55
126,6.2,2.8,4.8,1.8,virginica,15.600000000000001,3.9000000000000004
127,6.1,3.0,4.9,1.8,virginica,15.8,3.95
128,6.4,2.8,5.6,2.1,virginica,16.9,4.225
129,7.2,3.0,5.8,1.6,virginica,17.6,4.4
130,7.4,2.8,6.1,1.9,virginica,18.199999999999996,4.549999999999999
131,7.9,3.8,6.4,2.0,virginica,20.1,5.025
132,6.4,2.8,5.6,2.2,virginica,17.0,4.25
133,6.3,2.8,5.1,1.5,virginica,15.7,3.925
